mrmr_ranking.csv,sym_uncertainty_ranking.csv,relief_ranking.csv,info_gain_ratio_ranking.csv,info_gain_ranking.csv,correlation_ranking.csv,Ensemble.csv,Randomized.csv
"(1, 0.5424161400097228)","(1, 0.5307486631016043)","(1, 0.5855614973262033)","(1, 0.5437530384054449)","(1, 0.5369470102090422)","(1, 0.5473991249392318)","(1, 0.5365824015556635)","(1, 0.5171366067087992)"
"(2, 0.45770539620806994)","(2, 0.5032814778804084)","(2, 0.4750850753524549)","(2, 0.46487603305785125)","(2, 0.49465240641711233)","(2, 0.5221195916383082)","(2, 0.4828633932912008)","(2, 0.4319397180359747)"
"(3, 0.5200534759358288)","(3, 0.4855371900826446)","(3, 0.44761789013125913)","(3, 0.5223626640738941)","(3, 0.5127613028682547)","(3, 0.37773456490034035)","(3, 0.4786096256684493)","(3, 0.38976665046183756)"
"(4, 0.5165289256198347)","(4, 0.49574623237724846)","(4, 0.37323772484200296)","(4, 0.472654350996597)","(4, 0.46426835196888666)","(4, 0.3912250850753524)","(4, 0.45393777345649)","(4, 0.3970588235294118)"
"(5, 0.48881866796305307)","(5, 0.5574866310160428)","(5, 0.4645114244044726)","(5, 0.47970345162858524)","(5, 0.5204180845892075)","(5, 0.3793145357316479)","(5, 0.49829849295089934)","(5, 0.44786096256684493)"
"(6, 0.4743558580456976)","(6, 0.5280748663101603)","(6, 0.46560525036460854)","(6, 0.5013368983957219)","(6, 0.5120320855614974)","(6, 0.42999513855128824)","(6, 0.4997569275644142)","(6, 0.44081186193485655)"
"(7, 0.5177442877977638)","(7, 0.5241857073407876)","(7, 0.44725328147788046)","(7, 0.5437530384054448)","(7, 0.5110597958191541)","(7, 0.45126397666504614)","(7, 0.5246718522119591)","(7, 0.47350510452114725)"
"(8, 0.47836655323286337)","(8, 0.5922459893048129)","(8, 0.5017015070491007)","(8, 0.5110597958191541)","(8, 0.4642683519688867)","(8, 0.4251336898395722)","(8, 0.5063198833252309)","(8, 0.505104521147302)"
"(9, 0.4889402041808459)","(9, 0.5317209528439475)","(9, 0.5484929508993679)","(9, 0.4907632474477394)","(9, 0.5116674769081186)","(9, 0.5069275644141955)","(9, 0.5561497326203207)","(9, 0.4869956246961595)"
"(10, 0.49052017501215356)","(10, 0.5240641711229945)","(10, 0.5219980554205153)","(10, 0.522484200291687)","(10, 0.4720466699076324)","(10, 0.4931939718035975)","(10, 0.48006806028196397)","(10, 0.4264705882352941)"
"(11, 0.47848808945065635)","(11, 0.5471560525036461)","(11, 0.5613757899854157)","(11, 0.47095284394749637)","(11, 0.49732620320855614)","(11, 0.49185707340787554)","(11, 0.498784637822071)","(11, 0.4436071949440934)"
"(12, 0.4727758872143899)","(12, 0.5339086047642198)","(12, 0.48334953816237236)","(12, 0.4710743801652892)","(12, 0.5134905201750122)","(12, 0.45892075838599905)","(12, 0.5306271268838114)","(12, 0.44737481769567333)"
"(13, 0.4955031599416626)","(13, 0.5334224598930482)","(13, 0.5151920272241128)","(13, 0.5151920272241127)","(13, 0.45503159941662624)","(13, 0.4903986387943607)","(13, 0.492586290714633)","(13, 0.48079727758872143)"
"(14, 0.4964754496840058)","(14, 0.5320855614973262)","(14, 0.5244287797763734)","(14, 0.4845649003403014)","(14, 0.48213417598444336)","(14, 0.5356101118133204)","(14, 0.47411278561011183)","(14, 0.4575838599902771)"
"(15, 0.4748420029168692)","(15, 0.5044968400583374)","(15, 0.5294117647058824)","(15, 0.4669421487603306)","(15, 0.47131745260087504)","(15, 0.5031599416626156)","(15, 0.45782693242586286)","(15, 0.462688381137579)"
"(16, 0.5160427807486632)","(16, 0.5980797277588722)","(16, 0.49635391346621294)","(16, 0.5019445794846864)","(16, 0.5048614487117161)","(16, 0.47630043753038415)","(16, 0.4834710743801653)","(16, 0.4460379192999514)"
"(17, 0.46973748176956737)","(17, 0.5664803111327176)","(17, 0.5114244044725328)","(17, 0.48869713174526014)","(17, 0.487481769567331)","(17, 0.5046183762761303)","(17, 0.4716820612542537)","(17, 0.532328633932912)"
"(18, 0.4799465240641711)","(18, 0.49526008750607686)","(18, 0.5184735051045212)","(18, 0.4482255712202236)","(18, 0.4995138551288284)","(18, 0.47727272727272724)","(18, 0.47557122022362663)","(18, 0.509965969859018)"
"(19, 0.45916383082158485)","(19, 0.5503159941662615)","(19, 0.5217549829849295)","(19, 0.5077783179387457)","(19, 0.485051045211473)","(19, 0.5407146329606224)","(19, 0.49866310160427807)","(19, 0.5035245503159942)"
"(20, 0.4473748176956733)","(20, 0.54229460379193)","(20, 0.4823772484200292)","(20, 0.4978123480797278)","(20, 0.4814049586776859)","(20, 0.5125182304326689)","(20, 0.4387457462323772)","(20, 0.4606222654350996)"
